signal_date,next_signal_date,period_label,in_P1,in_P2,in_2024_latest,in_2026YTD,rerank_variant,revenue_penalty_weight,selected_branch_before,selected_ticker_before,selected_ticker_name_before,selected_asset_type_before,selected_ticker_after,selected_ticker_name_after,selected_asset_type_after,selected_result_changed,changed_reason,candidate_rank_before_penalty,candidate_source,baseline_candidate_score,rerank_score,abnormal_revenue_review_flag,revenue_growth_persistence_score,revenue_concentration_ratio_top3_12m,revenue_lumpiness_score,ttm_vs_recent_growth_gap,low_base_distortion_flag,revenue_anomaly_penalty_score,revenue_hygiene_confidence_level,report_revenue_anomaly_warning,report_revenue_anomaly_reason,entry_date,exit_date,official_unadjusted_ohlc_ready,path_ready,selected_stock_adjusted_close_ready,transition_cost_rate_source,future_data_violation_count,business_model_keyword_proxy_used_as_risk_basis,industry_classification_used_as_risk_basis,hard_exclude_applied,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2022-06-02,2022-06-10,P1,True,False,False,False,anomaly_veto_only_when_alternative_available,1.0,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-06-02,2022-06-10,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-06-10,2022-06-17,P1,True,False,False,False,baseline_no_revenue_penalty,0.0,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-06-10,2022-06-17,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-06-10,2022-06-17,P1,True,False,False,False,mild_revenue_penalty,0.15,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-06-10,2022-06-17,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-06-10,2022-06-17,P1,True,False,False,False,balanced_revenue_penalty,0.3,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-06-10,2022-06-17,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-06-10,2022-06-17,P1,True,False,False,False,strict_revenue_penalty,0.5,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-06-10,2022-06-17,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-06-10,2022-06-17,P1,True,False,False,False,anomaly_veto_only_when_alternative_available,1.0,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-06-10,2022-06-17,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-06-17,2022-06-24,P1,True,False,False,False,baseline_no_revenue_penalty,0.0,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-06-17,2022-06-24,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-06-17,2022-06-24,P1,True,False,False,False,mild_revenue_penalty,0.15,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-06-17,2022-06-24,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-06-17,2022-06-24,P1,True,False,False,False,balanced_revenue_penalty,0.3,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-06-17,2022-06-24,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-06-17,2022-06-24,P1,True,False,False,False,strict_revenue_penalty,0.5,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-06-17,2022-06-24,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-06-17,2022-06-24,P1,True,False,False,False,anomaly_veto_only_when_alternative_available,1.0,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-06-17,2022-06-24,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-06-24,2022-07-01,P1,True,False,False,False,baseline_no_revenue_penalty,0.0,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-06-24,2022-07-01,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-06-24,2022-07-01,P1,True,False,False,False,mild_revenue_penalty,0.15,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-06-24,2022-07-01,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-06-24,2022-07-01,P1,True,False,False,False,balanced_revenue_penalty,0.3,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-06-24,2022-07-01,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-06-24,2022-07-01,P1,True,False,False,False,strict_revenue_penalty,0.5,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-06-24,2022-07-01,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-06-24,2022-07-01,P1,True,False,False,False,anomaly_veto_only_when_alternative_available,1.0,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-06-24,2022-07-01,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-01,2022-07-08,P1,True,False,False,False,baseline_no_revenue_penalty,0.0,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-01,2022-07-08,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-01,2022-07-08,P1,True,False,False,False,mild_revenue_penalty,0.15,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-01,2022-07-08,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-01,2022-07-08,P1,True,False,False,False,balanced_revenue_penalty,0.3,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-01,2022-07-08,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-01,2022-07-08,P1,True,False,False,False,strict_revenue_penalty,0.5,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-01,2022-07-08,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-01,2022-07-08,P1,True,False,False,False,anomaly_veto_only_when_alternative_available,1.0,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-01,2022-07-08,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-08,2022-07-15,P1,True,False,False,False,baseline_no_revenue_penalty,0.0,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-08,2022-07-15,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-08,2022-07-15,P1,True,False,False,False,mild_revenue_penalty,0.15,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-08,2022-07-15,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-08,2022-07-15,P1,True,False,False,False,balanced_revenue_penalty,0.3,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-08,2022-07-15,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-08,2022-07-15,P1,True,False,False,False,strict_revenue_penalty,0.5,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-08,2022-07-15,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-08,2022-07-15,P1,True,False,False,False,anomaly_veto_only_when_alternative_available,1.0,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-08,2022-07-15,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-15,2022-07-22,P1,True,False,False,False,baseline_no_revenue_penalty,0.0,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-15,2022-07-22,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-15,2022-07-22,P1,True,False,False,False,mild_revenue_penalty,0.15,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-15,2022-07-22,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-15,2022-07-22,P1,True,False,False,False,balanced_revenue_penalty,0.3,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-15,2022-07-22,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-15,2022-07-22,P1,True,False,False,False,strict_revenue_penalty,0.5,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-15,2022-07-22,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-15,2022-07-22,P1,True,False,False,False,anomaly_veto_only_when_alternative_available,1.0,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-15,2022-07-22,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-22,2022-07-29,P1,True,False,False,False,baseline_no_revenue_penalty,0.0,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-22,2022-07-29,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-22,2022-07-29,P1,True,False,False,False,mild_revenue_penalty,0.15,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-22,2022-07-29,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-22,2022-07-29,P1,True,False,False,False,balanced_revenue_penalty,0.3,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-22,2022-07-29,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-22,2022-07-29,P1,True,False,False,False,strict_revenue_penalty,0.5,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-22,2022-07-29,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-22,2022-07-29,P1,True,False,False,False,anomaly_veto_only_when_alternative_available,1.0,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-22,2022-07-29,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-29,2022-08-05,P1,True,False,False,False,baseline_no_revenue_penalty,0.0,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-29,2022-08-05,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
2022-07-29,2022-08-05,P1,True,False,False,False,mild_revenue_penalty,0.15,route_support,00631L,,etf,00631L,,etf,False,non_stock_or_fallback_no_rerank,,,,,False,,,,,False,0.0,not_applicable_fallback_or_etf,fallback/ETF row not reranked,fallback/ETF 不套用公司營收 anomaly。,2022-07-29,2022-08-05,True,True,True,preserve_baseline_if_unchanged_else_requires_path_refresh,0,False,False,False,True,False,False,False,False,False,False,False,True,False
